Participant name: 
Nausea Reduction: False
Claustrophobia Reduction: False
Experiment Date & Time: 2019-Mar-21 12:03
Configuration Type: default
Configuration File Name: --
Application Version: 1.6

Global_Time_Seconds,Current_Day,Day_Time_Seconds,Current_State,Head_X_Position_Meters,Head_Y_Position_Meters,Head_Z_Position_Meters,Head_X_Rotation_Degrees,Head_Y_Rotation_Degrees,Head_Z_Rotation_Degrees,L_Hand_X_Position_Meters,L_Hand_Y_Position_Meters,L_Hand_Z_Position_Meters,R_Hand_X_Position_Meters,R_Hand_Y_Position_Meters,R_Hand_Z_Position_Meters,Bucket_X_Position_Meters,Bucket_Y_Position_Meters,Bucket_Z_Position_Meters,Avg_Moving_Speed_Last_Second_M/sec,Current_Water_In_Bucket,Cumulative_Water_Carried,Today_Water_Carried,Cumulative_Water_Spilled,Today_Water_Spilled,Cumulative_Water_Delivered,Today_Water_Delivered,Total_Score,Today_Score,Current_Pay_Per_Drop,Shake_Impairment_Day_Current_Strength_Pcnt,Shake_Impairment_Day_Initial_Strength_Pcnt,Seconds_Waited_Treatment_Day,Amount_Payed_Treatment_Day,Seconds_Waited_Treatment_Total,Amount_Payed_For_Treatment_Total
32.17027,0,0,RUNNING,0.1691916,0.5080313,0.7021288,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002272727,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33.17566,0,0,RUNNING,0.1693103,0.5078207,0.7021307,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002418262,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34.18107,0,0,RUNNING,0.1694247,0.5077506,0.7021047,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001366303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35.18614,0,0,RUNNING,0.1692505,0.508031,0.7020018,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0003457736,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36.19146,0,0,RUNNING,0.1692601,0.5078121,0.7019023,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.000240664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.19702,0,0,RUNNING,0.1694905,0.5077357,0.7021519,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0003481759,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38.20197,0,0,RUNNING,0.169412,0.5077716,0.7021881,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,9.367218E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39.20765,0,0,RUNNING,0.1693494,0.507853,0.7020463,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001750457,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40.21257,0,0,RUNNING,0.1693612,0.5078533,0.7021477,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001019948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41.21834,0,0,RUNNING,0.1693723,0.5079488,0.7021046,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001053265,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42.22331,0,0,RUNNING,0.1693239,0.5078947,0.7021191,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,7.403536E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43.22868,0,0,RUNNING,0.1693709,0.5077596,0.7020833,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001474779,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44.23401,0,0,RUNNING,0.1694399,0.5078313,0.7021099,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001029526,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45.23901,0,0,RUNNING,0.1693867,0.5078846,0.7019818,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001486985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46.24444,0,0,RUNNING,0.169339,0.5077804,0.7022153,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002601659,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47.24974,0,0,RUNNING,0.169306,0.5077651,0.7019356,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002821072,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48.25546,0,0,RUNNING,0.1692809,0.507883,0.7020052,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001392371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
